Module	Section	Sample Name	Source
FastQC	all_sections	P12002_157_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_157_R2_fastqc.zip
FastQC	all_sections	P12002_166_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_166_R2_fastqc.zip
FastQC	all_sections	P12002_161_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_161_R2_fastqc.zip
FastQC	all_sections	P12002_142_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_142_R2_fastqc.zip
FastQC	all_sections	P12002_186_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_186_R2_fastqc.zip
FastQC	all_sections	P12002_175_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_175_R2_fastqc.zip
FastQC	all_sections	P12002_163_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_163_R2_fastqc.zip
FastQC	all_sections	P12002_147_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_147_R2_fastqc.zip
FastQC	all_sections	P12002_108_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_108_R2_fastqc.zip
FastQC	all_sections	P12002_159_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_159_R2_fastqc.zip
FastQC	all_sections	P12002_188_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_188_R2_fastqc.zip
FastQC	all_sections	P12002_151_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_151_R2_fastqc.zip
FastQC	all_sections	P12002_132_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_132_R2_fastqc.zip
FastQC	all_sections	P12002_117_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_117_R2_fastqc.zip
FastQC	all_sections	P12002_154_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_154_R2_fastqc.zip
FastQC	all_sections	P12002_196_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_196_R2_fastqc.zip
FastQC	all_sections	P12002_187_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_187_R2_fastqc.zip
FastQC	all_sections	P12002_185_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_185_R2_fastqc.zip
FastQC	all_sections	P12002_170_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_170_R2_fastqc.zip
FastQC	all_sections	P12002_158_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_158_R2_fastqc.zip
FastQC	all_sections	P12002_193_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_193_R2_fastqc.zip
FastQC	all_sections	P12002_104_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_104_R2_fastqc.zip
FastQC	all_sections	P12002_169_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_169_R2_fastqc.zip
FastQC	all_sections	P12002_182_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_182_R2_fastqc.zip
FastQC	all_sections	P12002_127_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_127_R2_fastqc.zip
FastQC	all_sections	P12002_131_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_131_R2_fastqc.zip
FastQC	all_sections	P12002_174_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_174_R2_fastqc.zip
FastQC	all_sections	P12002_128_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_128_R2_fastqc.zip
FastQC	all_sections	P12002_134_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P12002/P12002_134_R2_fastqc.zip
