Module	Section	Sample Name	Source
FastQC	all_sections	P14052_102_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_102_R2_fastqc.zip
FastQC	all_sections	P14052_106_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_106_R2_fastqc.zip
FastQC	all_sections	P14052_118_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_118_R2_fastqc.zip
FastQC	all_sections	P14052_122_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_122_R2_fastqc.zip
FastQC	all_sections	P14052_124_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_124_R2_fastqc.zip
FastQC	all_sections	P14052_108_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_108_R2_fastqc.zip
FastQC	all_sections	P14052_119_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_119_R2_fastqc.zip
FastQC	all_sections	P14052_117_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_117_R2_fastqc.zip
FastQC	all_sections	P14052_101_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_101_R2_fastqc.zip
FastQC	all_sections	P14052_115_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_115_R2_fastqc.zip
FastQC	all_sections	P14052_107_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_107_R2_fastqc.zip
FastQC	all_sections	P14052_109_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_109_R2_fastqc.zip
FastQC	all_sections	P14052_103_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_103_R2_fastqc.zip
FastQC	all_sections	P14052_112_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_112_R2_fastqc.zip
FastQC	all_sections	P14052_127_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_127_R2_fastqc.zip
FastQC	all_sections	P14052_116_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_116_R2_fastqc.zip
FastQC	all_sections	P14052_110_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_110_R2_fastqc.zip
FastQC	all_sections	P14052_125_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_125_R2_fastqc.zip
FastQC	all_sections	P14052_111_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_111_R2_fastqc.zip
FastQC	all_sections	P14052_123_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_123_R2_fastqc.zip
FastQC	all_sections	P14052_113_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_113_R2_fastqc.zip
FastQC	all_sections	P14052_105_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_105_R2_fastqc.zip
FastQC	all_sections	P14052_126_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_126_R2_fastqc.zip
FastQC	all_sections	P14052_121_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_121_R2_fastqc.zip
FastQC	all_sections	P14052_114_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_114_R2_fastqc.zip
FastQC	all_sections	P14052_120_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_120_R2_fastqc.zip
FastQC	all_sections	P14052_104_R2	/crex/proj/snic2020-6-222/Projects/Tconura/working/Andre/CONURA_WGS/01-QC/fastqc_raw_R2_P14052/P14052_104_R2_fastqc.zip
